instance_22-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      112         10          19         83          215          0
    2      20         -87          23         502          593          0
    3      -1         55          55         247          494          0
    4      48         -139          44         393          442          0
    5      -113         59          43         468          527          0
    6      -93         -95          61         381          515          0
    7      41         49          55         0          720          0
    8      -70         141          70         230          438          0
    9      -15         -66          65         0          191          0
    10      165         -37          45         368          720          0
    11      -116         2          54         0          720          0
    12      -118         -127          70         0          720          0
    13      51         11          50         0          298          0
    14      60         51          17         613          720          0
    15      -72         165          39         0          720          0
    16      -16         11          43         239          319          0
    17      5         133          70         408          720          0
    18      79         75          71         87          224          0
    19      17         -22          42         0          101          0
    20      106         -112          58         0          720          0
    21      -147         -14          66         410          440          0
    22      27         -136          65         408          720          0
    23      -51         40          61         0          128          0
    24      -104         55          54         307          410          0
    25      -32         -17          50         326          419          0
    26      30         95          51         0          720          0
    27      119         -65          61         274          300          0
    28      -41         20          60         154          210          0
    29      -15         -151          36         127          174          0
    30      -36         -115          56         201          331          0
    31      43         -11          43         150          449          0
    32      7         -9          55         656          720          0
    33      33         5          55         112          163          0
    34      -102         14          53         379          455          0
    35      -76         26          40         479          497          0
    36      -87         -20          54         0          720          0
    37      -6         -87          29         337          338          0
    38      73         62          42         370          411          0
    39      63         131          55         120          162          0
    40      -88         -44          17         588          720          0
    41      127         -55          54         300          349          0
    42      7         -13          29         0          720          0
    43      144         -37          77         298          720          0
    44      -8         14          58         0          67          0
    45      -23         62          71         192          341          0
    46      -14         0          49         0          58          0
    47      -25         29          87         617          720          0
    48      -52         38          58         0          720          0
    49      -78         151          52         0          720          0
    50      -108         104          34         354          378          0
    51      15         -51          56         419          720          0
    52      -29         -36          41         460          720          0
    53      93         143          67         0          720          0
    54      15         -16          70         350          609          0
    55      39         26          29         402          720          0
    56      24         14          54         115          182          0
    57      -61         76          31         0          720          0
    58      37         172          57         0          720          0
    59      -29         -40          57         0          96          0
    60      2         113          18         494          720          0
