instance_18-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      62         -30          37         0          720          0
    2      -99         61          53         532          720          0
    3      33         -45          43         561          580          0
    4      -55         -146          33         446          720          0
    5      -140         -69          50         128          177          0
    6      35         5          25         454          720          0
    7      73         -81          44         551          720          0
    8      9         -82          39         553          720          0
    9      94         127          75         0          720          0
    10      80         62          64         0          421          0
    11      -10         25          25         546          720          0
    12      127         135          63         470          475          0
    13      0         12          40         661          720          0
    14      80         -85          63         435          720          0
    15      -20         30          65         434          720          0
    16      14         48          68         0          720          0
    17      41         -5          30         0          720          0
    18      -81         9          39         212          356          0
    19      48         56          31         0          720          0
    20      20         5          53         573          720          0
    21      -43         37          37         0          169          0
    22      -8         25          82         0          720          0
    23      -136         34          32         54          419          0
    24      -121         44          70         462          720          0
    25      -69         27          40         484          720          0
    26      5         -31          32         0          141          0
    27      16         32          46         229          418          0
    28      -11         -144          68         0          720          0
    29      97         102          38         0          720          0
    30      -14         -18          34         0          120          0
