instance_21-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      87         95          30         549          720          0
    2      10         3          48         0          720          0
    3      61         102          71         470          542          0
    4      86         83          58         214          373          0
    5      7         26          36         613          720          0
    6      -61         11          50         0          720          0
    7      83         -48          32         299          351          0
    8      1         -47          70         0          720          0
    9      -52         -64          62         0          720          0
    10      -15         15          65         0          38          0
    11      26         -116          65         0          720          0
    12      71         -33          53         325          327          0
    13      -8         -102          39         0          720          0
    14      -87         -61          73         0          720          0
    15      56         -30          42         446          605          0
    16      -5         95          78         457          720          0
    17      20         64          56         463          720          0
    18      5         23          66         0          720          0
    19      45         32          35         583          720          0
    20      -41         140          72         415          720          0
    21      104         51          25         172          224          0
    22      -40         -50          64         356          374          0
    23      -27         -19          45         616          720          0
    24      -68         156          41         281          720          0
    25      16         -3          33         495          720          0
    26      80         -31          59         0          720          0
    27      15         -70          55         0          207          0
    28      0         95          72         620          720          0
    29      67         7          54         435          445          0
    30      78         -56          34         533          720          0
    31      73         28          54         458          505          0
    32      -4         16          67         416          720          0
    33      -43         0          68         0          720          0
    34      0         36          57         0          720          0
    35      68         -107          37         506          589          0
    36      -102         -59          76         443          720          0
    37      -69         92          48         0          720          0
    38      62         51          56         239          289          0
    39      28         -5          26         634          720          0
    40      13         28          64         663          720          0
    41      28         112          48         277          293          0
    42      -20         126          22         0          720          0
    43      26         -21          47         265          314          0
    44      -29         68          43         94          192          0
    45      -25         -122          13         454          471          0
    46      5         64          66         347          488          0
    47      -33         4          55         0          82          0
    48      -54         21          41         0          720          0
    49      1         0          58         656          720          0
    50      97         20          39         510          536          0
    51      -65         126          45         0          720          0
    52      -59         45          56         340          720          0
    53      -132         4          51         0          720          0
    54      -3         1          46         0          720          0
    55      -8         54          69         0          720          0
    56      116         8          43         465          720          0
    57      17         -139          36         0          720          0
    58      125         -1          27         484          562          0
    59      3         5          57         0          14          0
    60      147         -43          56         342          720          0
