instance_25-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      33         -54          47         325          720          0
    2      -140         109          41         0          266          0
    3      22         -22          43         654          720          0
    4      38         16          64         645          720          0
    5      66         98          24         547          622          0
    6      52         3          82         265          341          0
    7      67         97          44         0          320          0
    8      8         -132          60         0          226          0
    9      -33         129          48         134          136          0
    10      -69         -41          56         567          720          0
    11      80         -36          55         520          720          0
    12      0         -1          48         0          720          0
    13      -78         155          95         347          427          0
    14      -123         47          65         479          559          0
    15      47         112          41         537          632          0
    16      47         -78          36         315          329          0
    17      16         30          39         0          720          0
    18      50         -51          61         0          720          0
    19      2         0          60         0          720          0
    20      166         -2          69         0          720          0
    21      -10         108          29         279          420          0
    22      55         82          63         495          720          0
    23      33         -135          60         112          242          0
    24      -96         0          28         0          720          0
    25      20         -3          95         0          166          0
    26      52         25          44         0          86          0
    27      24         -3          58         0          279          0
    28      14         -8          30         0          163          0
    29      -37         -59          31         0          720          0
    30      11         7          78         601          720          0
    31      -84         -35          32         448          598          0
    32      136         -54          72         141          153          0
    33      -5         48          28         552          720          0
    34      -5         -156          60         0          720          0
    35      -72         -91          32         194          234          0
    36      -84         37          22         114          343          0
    37      -94         -40          54         372          373          0
    38      91         76          48         286          287          0
    39      98         -28          53         202          720          0
    40      18         -32          71         683          720          0
    41      84         44          64         207          385          0
    42      44         103          36         496          720          0
    43      67         -136          50         528          720          0
    44      20         114          72         0          720          0
    45      -103         44          42         406          720          0
    46      -72         -50          14         326          720          0
    47      -61         64          52         225          456          0
    48      -68         -136          63         0          720          0
    49      50         138          46         0          720          0
    50      8         -72          45         0          720          0
    51      107         -128          64         179          264          0
    52      164         69          30         231          720          0
    53      -66         -68          49         419          720          0
    54      -3         3          60         612          720          0
    55      120         91          58         512          549          0
    56      104         -96          65         321          379          0
    57      10         -20          59         171          399          0
    58      -3         -82          47         106          182          0
    59      0         -1          52         625          720          0
    60      51         -116          9         239          451          0
