instance_36-triangle

VEHICLE
NUMBER     CAPACITY
  119         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -147         -88          54         346          373          0
    2      141         -30          53         210          250          0
    3      -24         67          60         203          440          0
    4      -10         -28          62         321          720          0
    5      -26         -13          71         593          720          0
    6      -68         -116          67         371          463          0
    7      12         -37          84         0          101          0
    8      0         -3          43         352          720          0
    9      -59         79          59         474          720          0
    10      135         -2          61         0          720          0
    11      22         64          33         345          350          0
    12      133         -29          44         0          720          0
    13      116         -11          39         510          720          0
    14      -92         -1          41         0          720          0
    15      -8         9          53         659          720          0
    16      -31         40          65         255          273          0
    17      84         83          57         118          254          0
    18      -5         18          39         558          720          0
    19      42         70          31         0          110          0
    20      8         -25          48         561          720          0
    21      -53         68          47         0          720          0
    22      52         -75          48         595          720          0
    23      79         -97          19         493          617          0
    24      183         -70          63         496          538          0
    25      -5         -38          57         0          720          0
    26      195         -57          63         469          521          0
    27      -139         56          38         0          720          0
    28      67         -82          27         304          720          0
    29      -43         -148          67         0          720          0
    30      -57         -145          59         0          275          0
    31      -100         -22          57         539          720          0
    32      -54         120          56         233          280          0
    33      8         -53          52         564          614          0
    34      22         -34          41         282          720          0
    35      -123         -48          32         446          484          0
    36      12         -9          33         599          720          0
    37      14         -37          45         622          720          0
    38      -36         84          51         344          387          0
    39      53         0          54         166          283          0
    40      4         70          37         123          162          0
    41      -89         -3          75         0          720          0
    42      -111         22          66         326          720          0
    43      -4         5          61         0          720          0
    44      -13         -57          29         0          720          0
    45      -163         -11          39         309          398          0
    46      -44         10          44         589          720          0
    47      -33         -28          49         0          720          0
    48      -49         21          82         0          55          0
    49      -108         15          64         0          720          0
    50      86         -103          41         553          720          0
    51      -18         -42          26         609          720          0
    52      -10         -93          53         107          145          0
    53      -5         -21          59         683          720          0
    54      -44         14          15         146          512          0
    55      36         -21          44         564          720          0
    56      -7         7          17         408          418          0
    57      31         -26          57         517          720          0
    58      84         45          16         201          328          0
    59      2         -26          37         0          158          0
    60      -61         33          52         541          720          0
    61      30         3          50         0          103          0
    62      -102         42          66         268          436          0
    63      57         71          75         0          720          0
    64      -66         54          37         0          720          0
    65      15         -2          23         297          720          0
    66      44         38          55         49          226          0
    67      11         -53          38         151          181          0
    68      -52         124          72         232          720          0
    69      20         57          62         265          276          0
    70      4         29          52         96          720          0
    71      11         -3          39         0          720          0
    72      -14         -41          54         560          720          0
    73      20         -165          39         534          720          0
    74      -6         -22          66         657          720          0
    75      -55         -169          27         538          720          0
    76      36         45          58         370          720          0
    77      -11         -77          64         417          534          0
    78      -16         14          81         568          720          0
    79      -56         -27          51         322          441          0
    80      55         1          36         425          441          0
    81      122         97          45         513          720          0
    82      48         -146          18         110          178          0
    83      -9         131          32         428          524          0
    84      -88         13          71         628          720          0
    85      19         -3          28         0          720          0
    86      66         90          54         104          214          0
    87      -83         -61          24         559          720          0
    88      -63         -79          38         493          720          0
    89      -42         -144          66         163          199          0
    90      -29         -23          50         0          208          0
    91      48         -137          44         0          720          0
    92      94         48          40         565          720          0
    93      -16         -35          43         537          720          0
    94      123         -24          36         380          499          0
    95      -134         -26          63         262          279          0
    96      -55         8          60         490          720          0
    97      8         -46          66         377          543          0
    98      41         23          67         0          179          0
    99      23         87          45         388          513          0
    100      -89         -48          39         565          720          0
    101      102         87          45         312          530          0
    102      -88         -120          52         165          216          0
    103      -37         20          49         0          720          0
    104      -132         5          69         0          525          0
    105      -17         -28          49         336          412          0
    106      -41         -6          46         537          720          0
    107      -47         -12          39         108          186          0
    108      63         109          33         283          720          0
    109      -137         60          56         0          720          0
    110      103         -89          52         319          470          0
    111      -51         -69          60         363          506          0
    112      -33         -114          69         0          720          0
    113      -136         -95          28         119          720          0
    114      106         -172          55         128          211          0
    115      13         17          63         579          720          0
    116      57         -103          50         599          720          0
    117      -43         76          50         272          398          0
    118      -9         -160          43         124          410          0
    119      -17         114          42         336          720          0
