instance_0-triangle

VEHICLE
NUMBER     CAPACITY
  15         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      23         -58          75         504          602          0
    2      32         -1          52         647          720          0
    3      -32         -20          51         0          720          0
    4      -10         76          29         306          560          0
    5      143         22          47         420          720          0
    6      3         13          47         71          253          0
    7      -32         139          49         0          720          0
    8      -1         3          64         493          720          0
    9      12         -28          51         172          399          0
    10      -63         17          53         116          120          0
    11      -28         122          48         275          358          0
    12      76         -54          40         562          720          0
    13      -72         25          57         254          290          0
    14      11         9          58         505          720          0
    15      -42         22          29         0          720          0
