instance_31-triangle

VEHICLE
NUMBER     CAPACITY
  120         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      80         118          47         371          430          0
    2      -1         -19          55         0          720          0
    3      37         -1          58         496          527          0
    4      37         90          43         271          411          0
    5      -39         13          77         46          233          0
    6      -98         75          32         395          720          0
    7      2         -1          39         389          720          0
    8      43         -6          54         212          220          0
    9      -1         21          61         382          720          0
    10      -33         -31          62         479          720          0
    11      -48         -96          68         499          720          0
    12      -158         -32          55         0          720          0
    13      51         -102          64         205          298          0
    14      -41         -154          49         0          720          0
    15      149         -26          74         326          382          0
    16      -117         -47          36         408          720          0
    17      -52         125          55         506          720          0
    18      2         22          56         26          89          0
    19      54         74          44         145          211          0
    20      24         49          35         153          294          0
    21      17         62          40         228          511          0
    22      103         -14          64         0          720          0
    23      35         -10          40         485          720          0
    24      107         -5          68         0          193          0
    25      43         141          38         411          509          0
    26      118         117          54         0          720          0
    27      67         -117          64         260          326          0
    28      -44         -21          65         0          128          0
    29      0         131          50         0          314          0
    30      -154         -82          52         0          720          0
    31      89         144          55         0          720          0
    32      -29         -99          57         0          720          0
    33      -68         -78          57         0          720          0
    34      -50         -48          65         613          720          0
    35      -9         43          36         180          420          0
    36      -45         -87          32         0          720          0
    37      -65         136          42         486          720          0
    38      59         27          57         597          720          0
    39      110         -98          50         260          463          0
    40      32         43          47         0          720          0
    41      -29         138          46         0          222          0
    42      7         -2          27         686          720          0
    43      78         60          57         391          395          0
    44      93         -121          42         330          428          0
    45      39         152          49         543          720          0
    46      -129         14          60         179          500          0
    47      -84         38          34         535          720          0
    48      -131         -24          72         335          444          0
    49      -6         -7          92         64          561          0
    50      35         129          19         579          720          0
    51      -92         -42          49         546          720          0
    52      -3         -7          52         413          720          0
    53      -9         7          69         600          720          0
    54      74         -78          56         569          720          0
    55      45         -68          48         533          720          0
    56      19         -1          55         0          720          0
    57      35         -64          35         0          307          0
    58      -55         -41          45         312          336          0
    59      -67         -40          57         147          190          0
    60      143         -71          43         362          720          0
    61      86         -40          51         608          720          0
    62      50         -132          58         305          314          0
    63      -141         1          33         0          720          0
    64      -57         7          35         0          720          0
    65      -31         15          53         44          224          0
    66      -14         27          48         281          720          0
    67      -99         8          72         167          720          0
    68      2         -100          22         279          720          0
    69      -103         113          45         159          203          0
    70      -8         0          56         599          720          0
    71      -4         -32          43         454          560          0
    72      -42         -55          29         165          424          0
    73      -144         -45          41         324          390          0
    74      -1         -27          26         485          720          0
    75      52         109          46         530          549          0
    76      -90         105          48         0          720          0
    77      87         78          64         335          378          0
    78      128         24          46         523          720          0
    79      10         -44          51         467          596          0
    80      -12         57          34         350          369          0
    81      -114         85          13         318          433          0
    82      -118         -3          70         298          526          0
    83      -32         89          31         393          720          0
    84      -16         -147          48         374          521          0
    85      54         74          57         0          720          0
    86      -146         71          87         133          231          0
    87      46         12          66         445          720          0
    88      -33         -24          59         647          720          0
    89      19         -1          34         0          204          0
    90      -76         18          59         496          532          0
    91      8         67          47         444          720          0
    92      38         -62          59         128          509          0
    93      18         -6          45         614          720          0
    94      21         -24          53         0          100          0
    95      25         -30          35         188          221          0
    96      -18         18          39         573          720          0
    97      -30         -54          44         310          456          0
    98      -34         -49          23         0          80          0
    99      6         -13          79         181          269          0
    100      9         14          50         0          720          0
    101      -1         -5          49         212          371          0
    102      3         -10          57         0          187          0
    103      55         -160          62         218          385          0
    104      63         -80          56         0          720          0
    105      32         43          47         0          720          0
    106      58         -49          22         0          720          0
    107      53         -53          49         589          720          0
    108      -131         57          32         0          720          0
    109      -77         -101          26         0          425          0
    110      8         18          58         438          720          0
    111      -124         -78          90         424          720          0
    112      0         0          41         0          720          0
    113      71         -29          29         0          720          0
    114      -67         -33          79         0          720          0
    115      61         2          49         0          110          0
    116      50         -103          51         0          720          0
    117      10         135          45         0          720          0
    118      -38         -77          53         0          237          0
    119      -1         -3          67         417          720          0
    120      -83         -88          69         432          462          0
