instance_37-triangle

VEHICLE
NUMBER     CAPACITY
  120         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      14         -171          54         402          720          0
    2      -157         -62          46         377          720          0
    3      -38         -34          24         210          239          0
    4      -131         -1          48         521          720          0
    5      -6         -15          33         590          720          0
    6      -34         -165          40         102          491          0
    7      -20         -14          36         182          720          0
    8      -167         -49          24         449          483          0
    9      87         108          36         468          518          0
    10      2         22          62         351          363          0
    11      -32         66          53         613          720          0
    12      -59         44          50         498          720          0
    13      -18         -32          54         486          578          0
    14      -3         18          51         0          75          0
    15      22         -17          53         0          720          0
    16      15         -27          71         635          720          0
    17      -105         -53          71         0          720          0
    18      29         -17          54         542          720          0
    19      8         -39          41         0          720          0
    20      -77         86          18         0          720          0
    21      92         -41          47         0          298          0
    22      94         44          47         0          720          0
    23      58         -115          56         449          529          0
    24      -61         -102          52         510          720          0
    25      146         33          59         0          720          0
    26      -9         -157          59         499          558          0
    27      -87         82          49         488          720          0
    28      108         127          49         0          720          0
    29      -112         58          32         0          720          0
    30      31         55          50         201          223          0
    31      -76         108          46         0          369          0
    32      10         35          45         658          720          0
    33      -1         -2          36         317          720          0
    34      -131         -14          27         0          720          0
    35      -26         147          45         415          720          0
    36      59         -127          41         342          484          0
    37      -63         -11          72         404          720          0
    38      -2         -5          49         559          720          0
    39      -18         135          39         0          720          0
    40      76         -119          54         0          299          0
    41      -47         7          64         241          364          0
    42      -56         -53          56         0          720          0
    43      -22         58          58         368          572          0
    44      -47         136          51         330          396          0
    45      -89         11          61         0          720          0
    46      -47         5          39         503          720          0
    47      0         0          67         0          720          0
    48      -146         -71          30         0          720          0
    49      111         -51          46         534          603          0
    50      -29         168          59         481          720          0
    51      -119         89          36         0          720          0
    52      -138         -4          72         38          236          0
    53      -4         33          59         674          720          0
    54      0         0          35         0          79          0
    55      139         49          43         0          221          0
    56      141         -153          54         494          523          0
    57      -9         162          66         375          720          0
    58      39         57          55         0          720          0
    59      -16         33          41         440          720          0
    60      112         15          37         421          434          0
    61      0         26          50         543          720          0
    62      -123         62          36         433          504          0
    63      -54         103          81         168          175          0
    64      -34         112          11         0          720          0
    65      125         -61          61         294          386          0
    66      -6         6          42         560          720          0
    67      77         1          66         436          651          0
    68      29         -3          51         202          209          0
    69      -67         40          51         0          720          0
    70      -97         58          63         425          562          0
    71      -106         11          42         132          517          0
    72      3         10          41         0          32          0
    73      -100         -35          38         0          720          0
    74      -76         -100          36         154          212          0
    75      9         154          33         533          720          0
    76      -101         -37          30         372          441          0
    77      -4         -2          58         370          720          0
    78      17         14          66         184          457          0
    79      21         0          67         383          720          0
    80      8         11          46         650          720          0
    81      -92         57          43         0          720          0
    82      163         -19          32         403          455          0
    83      11         11          51         0          720          0
    84      14         3          38         0          720          0
    85      80         -20          48         285          720          0
    86      -42         4          41         0          720          0
    87      -86         -40          41         0          421          0
    88      86         -77          50         0          720          0
    89      142         30          57         0          720          0
    90      -43         -40          26         206          720          0
    91      96         -7          30         0          367          0
    92      104         81          54         138          198          0
    93      19         82          55         0          720          0
    94      30         125          35         382          720          0
    95      92         -70          54         456          720          0
    96      -32         22          57         0          720          0
    97      -22         -24          26         378          720          0
    98      73         -42          30         361          442          0
    99      1         159          43         105          380          0
    100      59         19          24         513          598          0
    101      -99         46          50         149          329          0
    102      -73         -62          28         279          578          0
    103      17         46          65         0          56          0
    104      -30         -29          65         75          176          0
    105      78         99          33         499          720          0
    106      37         95          59         260          407          0
    107      0         7          11         631          720          0
    108      -101         -112          46         306          443          0
    109      -131         82          89         0          720          0
    110      110         25          58         169          427          0
    111      -18         39          24         0          146          0
    112      -26         134          70         0          720          0
    113      -1         2          53         587          720          0
    114      -55         12          29         378          720          0
    115      105         -108          47         0          720          0
    116      -40         69          57         537          720          0
    117      106         29          35         0          720          0
    118      6         27          17         564          720          0
    119      2         4          50         651          720          0
    120      -22         84          54         92          276          0
