instance_7-triangle

VEHICLE
NUMBER     CAPACITY
  20         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -8         -9          33         493          720          0
    2      -38         108          50         550          720          0
    3      -130         71          39         0          720          0
    4      -108         -2          65         0          720          0
    5      -9         22          49         568          720          0
    6      -33         -93          80         543          720          0
    7      45         -46          58         0          66          0
    8      52         78          40         604          720          0
    9      -17         70          48         0          720          0
    10      77         -66          75         412          417          0
    11      35         20          48         438          624          0
    12      32         158          41         0          720          0
    13      65         53          43         536          720          0
    14      -151         67          47         413          454          0
    15      65         -126          38         489          529          0
    16      -48         -37          19         636          720          0
    17      5         127          53         274          419          0
    18      55         118          41         444          720          0
    19      10         159          52         0          720          0
    20      6         1          50         556          720          0
