instance_2-triangle

VEHICLE
NUMBER     CAPACITY
  15         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      50         4          61         124          720          0
    2      146         81          64         0          720          0
    3      32         -7          30         411          526          0
    4      -75         -54          51         143          259          0
    5      50         -29          45         0          119          0
    6      -147         65          43         0          720          0
    7      68         -39          32         0          720          0
    8      71         41          52         486          720          0
    9      1         8          34         452          720          0
    10      -2         25          38         396          720          0
    11      -25         68          30         535          555          0
    12      -18         17          42         411          720          0
    13      -1         -7          60         0          720          0
    14      28         -39          79         0          207          0
    15      -63         34          52         0          307          0
