instance_3-triangle

VEHICLE
NUMBER     CAPACITY
  15         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -2         9          38         0          720          0
    2      38         11          42         637          720          0
    3      -23         6          58         338          720          0
    4      2         -3          34         664          720          0
    5      -67         8          49         621          720          0
    6      -142         13          55         391          440          0
    7      -23         101          35         0          720          0
    8      -36         18          48         0          720          0
    9      112         -75          39         145          289          0
    10      88         -47          61         592          720          0
    11      57         21          59         83          166          0
    12      25         5          44         417          616          0
    13      -51         -42          56         0          720          0
    14      -79         123          71         497          612          0
    15      -102         82          22         0          720          0
