instance_4-triangle

VEHICLE
NUMBER     CAPACITY
  15         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      114         -29          49         289          302          0
    2      -175         -38          45         306          500          0
    3      -71         123          39         407          720          0
    4      4         29          67         0          205          0
    5      94         50          71         0          456          0
    6      -30         -108          38         255          431          0
    7      151         -54          34         0          720          0
    8      1         154          32         0          720          0
    9      -65         -18          57         586          720          0
    10      0         -50          63         408          607          0
    11      -1         -13          66         656          720          0
    12      11         -26          64         419          720          0
    13      32         -129          73         0          720          0
    14      -36         -152          68         134          218          0
    15      -57         18          80         0          720          0
