instance_39-triangle

VEHICLE
NUMBER     CAPACITY
  120         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      106         -78          60         253          364          0
    2      87         19          28         78          258          0
    3      55         163          54         0          720          0
    4      -7         -24          57         613          720          0
    5      63         120          30         296          354          0
    6      52         -9          24         634          720          0
    7      106         -6          59         0          385          0
    8      2         -25          68         0          720          0
    9      139         -21          48         0          720          0
    10      31         138          33         369          371          0
    11      -1         153          42         529          720          0
    12      125         27          40         487          720          0
    13      42         4          79         241          335          0
    14      -54         134          20         572          720          0
    15      -21         -18          42         0          35          0
    16      -43         -50          39         0          720          0
    17      11         5          29         559          720          0
    18      129         22          66         413          484          0
    19      101         -72          64         139          173          0
    20      79         51          58         0          107          0
    21      28         -42          27         313          354          0
    22      6         17          52         123          397          0
    23      -63         -38          36         159          234          0
    24      14         65          15         0          720          0
    25      -42         -79          49         214          426          0
    26      30         -97          47         0          720          0
    27      -34         -93          48         151          202          0
    28      -150         23          54         539          590          0
    29      35         -64          14         587          720          0
    30      63         -12          61         478          522          0
    31      13         -5          19         559          720          0
    32      35         -72          50         0          720          0
    33      -28         44          48         530          720          0
    34      -73         -76          46         594          720          0
    35      -92         -38          41         0          720          0
    36      36         7          50         452          720          0
    37      -134         37          44         0          720          0
    38      -61         -64          45         0          123          0
    39      -136         -58          42         291          720          0
    40      134         -32          55         479          720          0
    41      -12         -76          53         447          624          0
    42      88         -50          32         529          720          0
    43      66         14          63         596          720          0
    44      -108         28          38         252          454          0
    45      -112         30          55         104          186          0
    46      45         7          44         0          251          0
    47      -132         -95          47         271          403          0
    48      -147         100          58         166          267          0
    49      -22         -32          73         0          720          0
    50      9         -17          35         565          617          0
    51      75         -33          45         0          720          0
    52      73         47          54         0          720          0
    53      -36         84          72         0          720          0
    54      129         -40          9         0          720          0
    55      -58         57          42         0          720          0
    56      1         -3          44         577          720          0
    57      -32         -111          48         0          720          0
    58      64         -6          31         184          249          0
    59      29         -139          47         244          259          0
    60      12         -10          53         646          720          0
    61      15         23          21         0          112          0
    62      144         -94          39         199          398          0
    63      -92         64          41         575          588          0
    64      41         7          49         28          292          0
    65      -70         -5          48         0          720          0
    66      5         -45          59         0          195          0
    67      -77         40          56         0          89          0
    68      143         -29          31         425          720          0
    69      -29         26          88         503          600          0
    70      0         0          53         588          720          0
    71      34         89          42         0          163          0
    72      -63         86          53         507          720          0
    73      -46         104          40         513          546          0
    74      47         16          43         507          720          0
    75      -6         -2          36         552          720          0
    76      26         -13          50         542          720          0
    77      -5         10          69         634          720          0
    78      70         14          60         32          210          0
    79      25         -5          73         0          720          0
    80      33         -112          57         0          720          0
    81      -56         -11          54         246          328          0
    82      -43         40          48         565          582          0
    83      -121         -34          33         0          720          0
    84      31         -13          52         462          567          0
    85      -147         -51          29         312          396          0
    86      -79         99          35         534          720          0
    87      -50         0          47         0          720          0
    88      -88         -104          62         243          598          0
    89      7         -108          54         523          720          0
    90      8         -79          31         508          720          0
    91      -73         37          47         159          237          0
    92      70         5          47         238          527          0
    93      -57         17          22         246          297          0
    94      -93         -103          39         367          406          0
    95      25         11          55         561          720          0
    96      22         53          27         159          263          0
    97      -24         23          58         607          720          0
    98      73         69          42         218          256          0
    99      -32         58          26         535          720          0
    100      50         11          46         0          720          0
    101      -133         1          26         0          720          0
    102      52         -19          44         0          720          0
    103      11         -22          36         625          720          0
    104      -71         38          61         318          448          0
    105      79         -86          42         90          462          0
    106      108         26          54         544          582          0
    107      52         -8          29         364          720          0
    108      39         -10          76         535          720          0
    109      0         -28          32         552          576          0
    110      -98         -140          41         0          720          0
    111      16         33          71         50          194          0
    112      41         87          49         458          720          0
    113      -68         136          65         328          349          0
    114      25         58          47         0          191          0
    115      74         -74          49         407          720          0
    116      11         9          22         0          34          0
    117      85         -78          20         55          230          0
    118      53         -57          51         0          720          0
    119      -72         8          53         0          720          0
    120      68         -19          30         501          720          0
