instance_10-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      62         58          45         550          555          0
    2      -144         -19          39         0          720          0
    3      75         -43          42         210          270          0
    4      -156         -28          48         266          378          0
    5      -44         43          41         0          720          0
    6      -65         -48          53         426          522          0
    7      26         -142          70         525          720          0
    8      -85         103          57         350          720          0
    9      40         -21          57         0          720          0
    10      46         41          46         298          720          0
    11      138         42          42         312          495          0
    12      174         -23          56         431          720          0
    13      32         -67          34         265          341          0
    14      5         14          26         0          720          0
    15      -18         -3          58         379          541          0
    16      -24         -61          72         319          387          0
    17      31         16          37         0          95          0
    18      -81         72          72         0          720          0
    19      -14         11          41         221          358          0
    20      -86         120          61         509          720          0
    21      -10         -49          54         594          720          0
    22      -47         -48          79         0          144          0
    23      -83         -114          31         339          633          0
    24      -58         72          68         599          720          0
    25      71         -80          52         583          720          0
    26      130         -53          42         0          720          0
    27      0         2          42         556          720          0
    28      6         10          38         449          720          0
    29      -121         -9          37         270          468          0
    30      -36         54          27         0          720          0
