instance_28-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -58         -31          55         205          372          0
    2      -33         -35          52         0          720          0
    3      9         2          84         0          720          0
    4      -40         -32          39         254          318          0
    5      -133         42          42         45          284          0
    6      1         35          43         491          720          0
    7      -94         -134          65         499          513          0
    8      144         -38          41         374          376          0
    9      15         128          45         423          497          0
    10      99         26          52         372          720          0
    11      75         -22          43         500          720          0
    12      -88         -88          50         0          720          0
    13      -38         32          51         606          720          0
    14      134         21          31         267          321          0
    15      -63         -123          37         0          720          0
    16      -72         63          64         310          456          0
    17      3         5          82         0          720          0
    18      -43         19          65         219          357          0
    19      -61         51          51         597          720          0
    20      3         10          72         0          720          0
    21      -76         -45          45         214          485          0
    22      76         20          69         0          157          0
    23      -25         10          44         0          74          0
    24      34         40          36         436          720          0
    25      21         -12          65         272          372          0
    26      -18         -85          31         0          720          0
    27      147         -43          23         169          435          0
    28      -22         -5          44         429          478          0
    29      -21         164          38         135          720          0
    30      123         30          45         570          720          0
    31      -8         106          59         0          720          0
    32      7         -145          39         0          720          0
    33      -32         73          55         0          418          0
    34      -19         -63          79         501          720          0
    35      -4         -113          41         168          203          0
    36      33         -8          48         0          91          0
    37      -48         -61          43         201          361          0
    38      -82         68          50         0          720          0
    39      -159         73          51         0          720          0
    40      2         -47          38         547          720          0
    41      -12         -38          18         454          577          0
    42      -59         55          63         0          720          0
    43      -168         -113          36         434          461          0
    44      -110         37          49         341          514          0
    45      124         47          59         324          426          0
    46      -153         88          62         0          720          0
    47      -175         71          28         507          570          0
    48      -80         150          52         482          558          0
    49      -55         55          60         303          341          0
    50      78         72          41         0          720          0
    51      89         29          56         190          203          0
    52      -3         139          26         406          720          0
    53      -3         -88          66         281          403          0
    54      20         47          37         377          720          0
    55      -43         7          27         526          720          0
    56      28         15          23         595          720          0
    57      80         160          52         497          720          0
    58      89         153          39         336          499          0
    59      -66         -59          28         275          451          0
    60      -6         -56          65         484          651          0
