instance_20-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -68         -88          34         413          533          0
    2      -35         -82          40         121          232          0
    3      -1         -4          39         0          720          0
    4      -20         81          51         430          445          0
    5      -46         -8          62         0          229          0
    6      -104         18          81         441          550          0
    7      16         0          46         0          76          0
    8      -48         -91          43         589          634          0
    9      31         2          57         0          720          0
    10      56         -71          54         478          720          0
    11      -71         71          56         265          399          0
    12      -37         52          20         480          720          0
    13      -43         69          66         444          720          0
    14      -3         -88          26         592          720          0
    15      -3         -18          69         405          720          0
    16      -63         -58          46         578          720          0
    17      59         -110          36         520          552          0
    18      -96         -85          30         173          366          0
    19      -143         -34          41         99          604          0
    20      60         94          60         81          228          0
    21      57         85          44         573          720          0
    22      -11         -37          56         576          720          0
    23      -7         5          65         684          720          0
    24      -32         -18          36         619          720          0
    25      5         82          72         0          720          0
    26      -44         -14          47         505          640          0
    27      3         -41          52         0          720          0
    28      -6         -56          27         329          426          0
    29      176         34          13         92          429          0
    30      -50         40          38         466          720          0
    31      22         55          51         325          527          0
    32      86         -104          58         0          720          0
    33      9         -10          52         434          550          0
    34      172         25          50         0          720          0
    35      -13         146          27         0          720          0
    36      9         78          22         0          720          0
    37      42         -158          54         0          720          0
    38      67         40          51         321          720          0
    39      -117         -47          53         569          720          0
    40      -41         -88          58         0          720          0
    41      -19         13          61         695          720          0
    42      -11         -15          76         108          200          0
    43      9         14          79         599          720          0
    44      22         3          35         390          600          0
    45      96         -115          51         0          720          0
    46      45         -49          71         0          720          0
    47      22         9          57         534          720          0
    48      16         4          50         421          563          0
    49      -23         -156          52         340          356          0
    50      -108         -26          10         0          126          0
    51      22         35          74         539          720          0
    52      44         10          66         0          720          0
    53      -133         109          78         0          720          0
    54      67         -38          18         0          720          0
    55      -11         9          70         503          720          0
    56      3         -9          55         0          11          0
    57      5         137          58         533          611          0
    58      136         93          22         429          720          0
    59      -57         33          54         117          384          0
    60      -63         -17          37         288          369          0
