instance_35-triangle

VEHICLE
NUMBER     CAPACITY
  120         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -53         153          19         0          720          0
    2      83         -107          74         59          329          0
    3      25         -22          55         0          293          0
    4      -10         6          47         301          498          0
    5      -22         39          49         474          720          0
    6      -26         154          40         0          720          0
    7      86         -18          36         0          720          0
    8      -6         16          47         0          720          0
    9      -87         -69          47         151          227          0
    10      5         -46          41         558          720          0
    11      -88         -94          66         525          720          0
    12      4         2          45         0          720          0
    13      83         111          44         0          720          0
    14      -9         108          62         555          720          0
    15      -157         17          39         235          487          0
    16      -139         29          44         248          307          0
    17      -65         63          37         0          720          0
    18      -15         175          54         0          720          0
    19      4         -38          42         0          182          0
    20      23         124          60         452          720          0
    21      1         127          26         0          720          0
    22      -7         -171          54         0          720          0
    23      2         2          85         446          720          0
    24      -65         -39          42         292          304          0
    25      86         17          68         247          720          0
    26      -100         58          47         170          268          0
    27      -60         151          45         0          720          0
    28      13         -134          25         481          619          0
    29      98         66          56         445          720          0
    30      -54         -88          45         0          720          0
    31      158         -12          58         0          720          0
    32      -118         51          30         0          159          0
    33      -154         -29          32         300          720          0
    34      21         -16          45         0          720          0
    35      88         -103          61         0          720          0
    36      -55         -94          59         0          170          0
    37      -6         3          49         614          720          0
    38      97         72          56         460          571          0
    39      7         -35          64         367          440          0
    40      9         125          41         204          434          0
    41      -24         56          28         455          542          0
    42      15         46          44         0          720          0
    43      -101         -85          54         423          498          0
    44      -33         3          45         0          720          0
    45      -105         -121          55         490          720          0
    46      -4         25          81         135          542          0
    47      -107         -19          29         70          176          0
    48      -3         21          39         0          720          0
    49      23         36          69         178          342          0
    50      16         38          52         0          720          0
    51      93         136          51         374          720          0
    52      94         117          65         549          720          0
    53      74         105          46         0          720          0
    54      52         -20          44         652          720          0
    55      -44         -2          44         0          720          0
    56      -7         50          40         601          720          0
    57      130         -103          82         143          271          0
    58      -69         -34          42         238          245          0
    59      -5         -73          73         644          720          0
    60      -18         -1          47         0          181          0
    61      -1         5          71         0          720          0
    62      124         49          67         203          279          0
    63      33         -105          28         558          576          0
    64      -74         -31          74         284          366          0
    65      1         -78          62         0          720          0
    66      54         -59          52         0          720          0
    67      62         79          48         0          720          0
    68      20         -99          60         518          682          0
    69      3         -12          67         0          720          0
    70      101         21          64         0          720          0
    71      131         98          7         410          720          0
    72      35         -139          61         285          357          0
    73      48         59          36         391          463          0
    74      -33         37          34         574          720          0
    75      -96         103          72         465          608          0
    76      61         0          56         116          246          0
    77      117         92          46         194          436          0
    78      29         -71          62         0          720          0
    79      91         -64          43         553          720          0
    80      -34         72          65         613          720          0
    81      91         -114          59         138          212          0
    82      -67         -110          22         574          720          0
    83      29         101          28         366          720          0
    84      -13         -14          62         596          720          0
    85      -40         -57          37         429          473          0
    86      90         11          70         0          720          0
    87      -2         -1          39         0          273          0
    88      163         100          40         467          571          0
    89      -105         86          60         297          310          0
    90      76         -21          30         293          407          0
    91      -28         80          25         0          720          0
    92      -85         -103          35         0          286          0
    93      -37         7          30         0          720          0
    94      20         24          67         292          544          0
    95      62         45          45         0          294          0
    96      -80         63          66         251          542          0
    97      11         -4          47         662          720          0
    98      -108         115          56         0          720          0
    99      8         -6          55         351          720          0
    100      -79         -141          48         0          720          0
    101      -2         -82          37         601          720          0
    102      -129         50          20         385          441          0
    103      57         50          45         513          720          0
    104      26         15          36         269          720          0
    105      55         -115          43         260          436          0
    106      -161         -50          69         340          403          0
    107      -5         -25          61         541          720          0
    108      87         1          52         598          720          0
    109      9         79          61         508          528          0
    110      -113         -15          35         233          314          0
    111      -46         -57          48         0          574          0
    112      13         -2          65         0          120          0
    113      99         -75          68         424          457          0
    114      -24         164          51         355          539          0
    115      -30         -20          44         0          720          0
    116      -136         109          14         313          413          0
    117      -109         142          49         349          409          0
    118      31         -31          22         280          354          0
    119      -71         112          78         40          639          0
    120      -127         -125          24         0          720          0
