instance_24-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      75         -88          34         558          720          0
    2      -118         -77          72         0          720          0
    3      -81         -2          59         366          377          0
    4      -86         -57          60         559          720          0
    5      149         -34          83         209          350          0
    6      135         65          67         323          369          0
    7      -40         -25          56         492          720          0
    8      90         -10          55         616          720          0
    9      -123         65          37         503          720          0
    10      32         -38          51         507          720          0
    11      20         -17          56         0          720          0
    12      111         94          43         567          720          0
    13      -94         -24          52         0          720          0
    14      36         -16          58         0          205          0
    15      18         -54          36         0          720          0
    16      32         64          65         181          241          0
    17      -138         25          43         0          720          0
    18      -48         2          55         669          720          0
    19      -93         72          39         0          720          0
    20      -128         -56          33         515          720          0
    21      38         -47          46         299          351          0
    22      -25         -54          75         0          720          0
    23      -39         -148          57         404          720          0
    24      44         -43          23         634          720          0
    25      -25         2          47         346          496          0
    26      -62         -143          54         261          296          0
    27      -100         -34          68         412          530          0
    28      -1         -17          34         604          720          0
    29      22         163          66         0          720          0
    30      -52         -141          64         484          720          0
    31      30         -9          48         0          87          0
    32      42         -25          68         0          134          0
    33      16         -19          54         355          584          0
    34      -62         -37          63         528          720          0
    35      -23         -23          38         550          720          0
    36      13         -43          39         15          214          0
    37      29         -133          42         515          720          0
    38      19         7          41         503          720          0
    39      21         48          32         253          368          0
    40      6         18          47         0          86          0
    41      -66         -30          30         0          109          0
    42      -8         -8          26         0          720          0
    43      -5         43          48         662          720          0
    44      -33         2          34         504          720          0
    45      -3         -60          24         0          720          0
    46      10         7          69         481          720          0
    47      -4         -32          66         0          62          0
    48      0         -3          48         648          720          0
    49      -122         72          69         0          209          0
    50      -73         14          67         0          720          0
    51      12         116          56         339          463          0
    52      -89         130          35         0          720          0
    53      127         17          63         451          720          0
    54      -110         -22          51         0          720          0
    55      -74         34          45         582          720          0
    56      8         -145          34         486          720          0
    57      -27         -10          25         470          720          0
    58      -56         25          37         616          720          0
    59      -151         -51          49         289          462          0
    60      42         -15          46         372          517          0
