instance_14-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      53         108          46         313          720          0
    2      7         -6          70         502          720          0
    3      7         -74          88         538          720          0
    4      76         70          36         0          720          0
    5      -109         27          43         313          442          0
    6      2         3          53         612          720          0
    7      -23         19          50         605          637          0
    8      64         -20          53         0          720          0
    9      -55         -6          49         0          150          0
    10      158         16          66         465          480          0
    11      67         -74          57         254          321          0
    12      -55         -140          47         369          432          0
    13      82         109          48         328          409          0
    14      -37         -47          44         569          720          0
    15      -38         -140          49         569          720          0
    16      69         -3          53         145          181          0
    17      55         54          89         0          316          0
    18      43         -10          39         0          720          0
    19      -69         -82          53         506          551          0
    20      -106         -4          38         490          720          0
    21      -45         -89          51         281          667          0
    22      -50         27          61         478          720          0
    23      58         56          71         544          720          0
    24      -105         -64          30         438          720          0
    25      30         -33          35         648          720          0
    26      -18         -23          59         527          617          0
    27      79         6          31         455          720          0
    28      -22         160          51         377          720          0
    29      -41         4          60         562          720          0
    30      -21         -57          72         0          720          0
