instance_15-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -145         -17          48         281          445          0
    2      0         -16          56         0          720          0
    3      34         112          48         0          720          0
    4      91         -21          35         0          108          0
    5      5         -13          56         145          299          0
    6      8         158          48         546          720          0
    7      8         -2          42         0          152          0
    8      29         -10          55         651          720          0
    9      -142         -75          42         181          242          0
    10      60         148          64         0          720          0
    11      -39         -19          44         674          720          0
    12      -80         -94          31         449          720          0
    13      44         -29          36         0          362          0
    14      -115         43          33         503          720          0
    15      27         24          11         562          720          0
    16      3         5          64         703          720          0
    17      -161         -31          67         106          324          0
    18      12         19          62         491          720          0
    19      4         0          61         592          720          0
    20      3         -82          40         573          720          0
    21      -1         1          49         0          80          0
    22      -25         28          63         102          243          0
    23      89         84          41         465          720          0
    24      16         128          69         0          720          0
    25      -124         6          44         206          269          0
    26      96         -6          19         141          205          0
    27      1         -16          70         0          720          0
    28      130         -15          42         89          249          0
    29      -64         45          82         584          652          0
    30      28         -61          47         0          720          0
