instance_6-triangle

VEHICLE
NUMBER     CAPACITY
  20         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -25         0          65         611          720          0
    2      -103         54          82         376          577          0
    3      3         -28          54         395          720          0
    4      28         63          61         647          720          0
    5      8         -49          74         0          720          0
    6      -77         37          63         0          720          0
    7      162         65          38         314          720          0
    8      -88         39          26         225          278          0
    9      -101         -20          53         0          720          0
    10      34         -34          46         405          506          0
    11      111         38          58         265          479          0
    12      -52         27          32         0          720          0
    13      -52         19          61         0          720          0
    14      74         104          35         341          355          0
    15      -17         49          34         0          720          0
    16      -53         -3          36         0          127          0
    17      38         90          78         489          504          0
    18      -12         -9          18         0          720          0
    19      -35         52          36         0          720          0
    20      -53         35          51         488          562          0
