instance_17-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      63         -34          56         359          361          0
    2      0         84          30         354          518          0
    3      -7         30          77         0          144          0
    4      -91         -43          50         152          327          0
    5      28         -105          33         0          211          0
    6      0         20          53         334          720          0
    7      -24         -37          74         501          720          0
    8      11         -13          59         0          61          0
    9      -112         -14          48         0          720          0
    10      -97         -71          70         0          720          0
    11      -26         -59          39         632          720          0
    12      -24         90          28         0          720          0
    13      78         -31          33         436          573          0
    14      -126         -123          80         503          523          0
    15      76         41          53         555          720          0
    16      -87         -7          55         119          316          0
    17      -30         83          48         0          720          0
    18      17         -82          83         214          448          0
    19      -56         -98          58         451          624          0
    20      42         -73          33         169          361          0
    21      130         41          69         368          438          0
    22      90         -91          37         529          720          0
    23      -77         133          84         0          720          0
    24      -40         53          79         187          241          0
    25      -28         -23          86         0          720          0
    26      29         44          36         0          720          0
    27      -4         -132          52         0          720          0
    28      -46         -24          69         467          486          0
    29      -123         -1          58         369          421          0
    30      47         23          53         212          391          0
