instance_12-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      1         -42          58         586          720          0
    2      35         109          70         37          232          0
    3      -138         3          66         189          309          0
    4      14         -41          57         585          720          0
    5      20         -7          28         460          720          0
    6      41         -2          75         619          720          0
    7      -57         85          55         311          448          0
    8      -23         -65          55         518          720          0
    9      83         -2          65         249          455          0
    10      -28         0          59         0          385          0
    11      -74         55          48         467          475          0
    12      132         18          51         0          720          0
    13      -29         -70          40         113          120          0
    14      -7         -32          37         597          720          0
    15      15         11          49         612          720          0
    16      -131         -65          50         538          595          0
    17      -130         -110          60         0          720          0
    18      89         -127          34         363          518          0
    19      -25         -66          66         549          557          0
    20      83         8          53         502          720          0
    21      12         -4          66         0          720          0
    22      -84         103          42         0          720          0
    23      -38         28          56         0          720          0
    24      39         -101          34         557          720          0
    25      -9         64          69         589          720          0
    26      -4         -55          46         451          520          0
    27      -19         37          32         285          503          0
    28      3         0          16         391          720          0
    29      -92         90          56         423          522          0
    30      47         21          75         0          198          0
