instance_23-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -111         112          60         73          175          0
    2      100         -45          49         0          177          0
    3      76         127          51         0          167          0
    4      96         58          44         504          720          0
    5      0         202          53         500          559          0
    6      -36         -11          35         0          720          0
    7      8         63          52         542          720          0
    8      -154         42          65         0          720          0
    9      3         213          64         209          226          0
    10      -2         -79          33         508          543          0
    11      -28         107          16         539          720          0
    12      101         -116          17         0          720          0
    13      -98         63          49         313          438          0
    14      122         -19          50         544          720          0
    15      -86         23          43         0          720          0
    16      -100         -9          47         0          720          0
    17      116         -67          46         581          720          0
    18      88         108          57         0          720          0
    19      -5         12          79         0          720          0
    20      -114         -37          75         189          720          0
    21      -17         95          60         595          720          0
    22      -95         64          32         318          720          0
    23      14         -52          50         601          720          0
    24      -10         -94          35         548          720          0
    25      -21         -141          69         382          720          0
    26      23         36          56         162          299          0
    27      -70         30          50         536          720          0
    28      128         -65          27         543          720          0
    29      37         36          60         649          720          0
    30      13         19          46         567          720          0
    31      146         30          42         403          427          0
    32      117         -43          61         372          438          0
    33      -14         41          60         295          720          0
    34      123         -65          79         541          720          0
    35      50         -137          47         553          720          0
    36      2         14          53         662          720          0
    37      106         -53          63         523          720          0
    38      -20         -106          51         56          202          0
    39      -4         60          27         138          160          0
    40      -12         9          26         0          720          0
    41      -7         -28          47         0          280          0
    42      19         26          83         558          720          0
    43      -91         -52          76         341          720          0
    44      23         36          45         114          476          0
    45      -143         -27          34         0          720          0
    46      11         -2          61         664          720          0
    47      115         69          43         387          558          0
    48      -66         -85          48         303          720          0
    49      66         -56          42         439          720          0
    50      1         -7          46         308          720          0
    51      25         12          57         0          720          0
    52      -38         8          58         97          192          0
    53      -15         -31          52         0          720          0
    54      75         -85          30         0          720          0
    55      -11         64          40         320          528          0
    56      -55         -97          68         511          720          0
    57      -88         27          49         587          720          0
    58      -68         -135          40         0          720          0
    59      -83         54          31         521          522          0
    60      -27         136          56         0          172          0
