instance_11-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      91         2          62         469          720          0
    2      -59         27          55         0          720          0
    3      -13         -34          45         649          720          0
    4      79         -9          56         0          129          0
    5      -98         20          46         0          720          0
    6      6         -45          5         477          720          0
    7      67         125          34         383          720          0
    8      18         -33          45         0          720          0
    9      -20         53          27         269          411          0
    10      120         53          34         202          445          0
    11      -25         -45          32         558          720          0
    12      -27         47          36         0          720          0
    13      -13         16          52         0          116          0
    14      113         23          41         411          453          0
    15      0         20          21         445          720          0
    16      23         26          43         0          39          0
    17      -20         -47          55         0          85          0
    18      57         33          42         85          264          0
    19      -11         19          33         607          720          0
    20      98         -71          31         532          720          0
    21      19         52          45         530          633          0
    22      137         3          65         277          720          0
    23      -12         75          73         352          354          0
    24      -86         -65          52         126          198          0
    25      -23         148          46         0          720          0
    26      60         146          36         0          720          0
    27      -104         -27          66         201          231          0
    28      85         158          31         359          361          0
    29      -37         -79          57         369          720          0
    30      17         18          60         184          283          0
