instance_27-triangle

VEHICLE
NUMBER     CAPACITY
  60         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -67         -17          12         486          720          0
    2      -5         3          47         608          720          0
    3      2         -11          39         652          720          0
    4      11         19          68         0          182          0
    5      -9         -123          40         247          313          0
    6      -103         -41          35         608          720          0
    7      0         1          64         424          720          0
    8      36         -6          15         238          544          0
    9      -6         11          37         665          720          0
    10      -10         39          50         163          218          0
    11      -25         -159          36         0          720          0
    12      -24         12          48         630          720          0
    13      -68         53          72         0          720          0
    14      -80         -138          43         329          371          0
    15      0         -25          45         0          720          0
    16      4         128          46         453          601          0
    17      -14         45          36         0          125          0
    18      -164         -19          56         327          389          0
    19      -14         10          56         0          208          0
    20      48         -167          43         240          278          0
    21      -157         53          49         266          424          0
    22      -116         19          48         0          720          0
    23      51         43          10         0          720          0
    24      43         58          37         297          426          0
    25      44         -95          25         412          538          0
    26      -104         10          51         498          720          0
    27      0         -12          26         288          720          0
    28      4         -15          30         552          720          0
    29      -15         9          68         354          374          0
    30      -150         8          34         417          442          0
    31      -117         20          47         0          720          0
    32      152         -63          41         0          720          0
    33      -5         -31          33         0          720          0
    34      17         -166          34         193          523          0
    35      -131         -102          31         434          720          0
    36      25         13          45         0          167          0
    37      19         66          39         0          720          0
    38      -62         22          57         120          255          0
    39      -56         -49          55         508          720          0
    40      -9         67          53         238          720          0
    41      -126         -113          57         230          720          0
    42      -21         92          18         625          720          0
    43      30         -89          45         0          720          0
    44      -87         -2          36         557          577          0
    45      13         -3          9         658          720          0
    46      133         -90          10         0          184          0
    47      -13         7          43         400          552          0
    48      -5         8          45         0          720          0
    49      5         19          61         355          552          0
    50      10         -2          47         0          62          0
    51      172         -46          52         356          720          0
    52      -28         -63          24         124          175          0
    53      -77         20          67         191          236          0
    54      31         -66          76         132          184          0
    55      14         46          51         0          720          0
    56      -29         34          41         0          273          0
    57      11         71          58         180          526          0
    58      37         42          63         478          720          0
    59      106         81          68         346          359          0
    60      -141         -35          50         543          720          0
