instance_9-triangle

VEHICLE
NUMBER     CAPACITY
  20         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -35         81          56         0          720          0
    2      87         -138          35         343          560          0
    3      61         -23          61         458          564          0
    4      -26         -104          70         442          720          0
    5      -85         -24          55         0          720          0
    6      -45         -88          54         0          187          0
    7      118         66          55         0          720          0
    8      62         -97          58         335          362          0
    9      -41         22          31         325          343          0
    10      -11         63          69         609          720          0
    11      0         0          33         368          720          0
    12      -28         -10          69         479          720          0
    13      2         -4          68         0          720          0
    14      -73         -26          42         167          720          0
    15      32         -41          63         283          296          0
    16      60         49          22         256          486          0
    17      -34         92          58         209          459          0
    18      -15         -97          65         500          720          0
    19      -25         -11          58         0          720          0
    20      105         46          47         0          720          0
