instance_5-triangle

VEHICLE
NUMBER     CAPACITY
  20         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      -45         115          31         378          720          0
    2      3         -25          52         0          720          0
    3      12         -42          80         615          720          0
    4      40         90          60         486          720          0
    5      -2         1          69         529          720          0
    6      67         14          40         0          720          0
    7      110         -97          29         359          720          0
    8      73         -47          62         438          502          0
    9      80         -13          36         149          186          0
    10      -10         -83          56         329          372          0
    11      -79         -19          68         0          720          0
    12      -8         -20          46         134          248          0
    13      -104         -69          35         140          269          0
    14      -67         5          31         0          720          0
    15      53         131          64         429          720          0
    16      77         50          55         50          170          0
    17      -29         -25          28         0          720          0
    18      94         119          56         0          720          0
    19      14         29          49         0          720          0
    20      75         52          33         488          720          0
