instance_16-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      80         -11          44         518          720          0
    2      127         75          29         496          525          0
    3      67         -109          79         582          720          0
    4      134         -10          69         335          490          0
    5      -90         2          40         559          720          0
    6      -73         -126          29         423          442          0
    7      0         -69          16         507          720          0
    8      16         -140          54         0          339          0
    9      -96         -77          91         528          720          0
    10      -52         -60          60         543          720          0
    11      2         0          32         451          720          0
    12      26         -13          54         375          555          0
    13      135         -63          48         186          282          0
    14      155         -22          38         307          357          0
    15      63         -34          32         483          568          0
    16      96         -15          43         313          456          0
    17      -28         -47          74         0          88          0
    18      3         -3          35         0          311          0
    19      91         -56          58         0          720          0
    20      88         -103          49         282          642          0
    21      -9         56          47         359          379          0
    22      48         0          32         0          720          0
    23      2         64          79         75          376          0
    24      -124         33          48         491          533          0
    25      63         13          50         183          720          0
    26      20         43          41         156          320          0
    27      0         -39          41         198          219          0
    28      69         86          44         416          475          0
    29      102         78          27         81          179          0
    30      -66         62          68         199          250          0
