instance_19-triangle

VEHICLE
NUMBER     CAPACITY
  30         750

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    0      0         0          0          0       720          0
    1      1         153          30         0          720          0
    2      39         -66          47         552          720          0
    3      42         64          27         388          720          0
    4      11         -16          62         0          214          0
    5      5         30          33         0          720          0
    6      -58         16          58         0          205          0
    7      -9         -8          41         514          720          0
    8      30         30          46         0          720          0
    9      -50         148          73         0          720          0
    10      25         -43          49         0          720          0
    11      68         32          69         0          720          0
    12      -39         -21          61         584          720          0
    13      2         12          68         0          720          0
    14      -1         58          41         588          720          0
    15      49         -43          47         262          271          0
    16      -54         110          48         0          215          0
    17      -3         14          34         0          720          0
    18      25         51          77         0          720          0
    19      24         -10          50         0          720          0
    20      93         45          27         522          720          0
    21      0         28          75         646          720          0
    22      -73         58          50         0          720          0
    23      10         151          34         0          720          0
    24      -15         5          44         159          478          0
    25      -15         -171          43         0          720          0
    26      21         68          50         0          720          0
    27      113         106          41         0          720          0
    28      87         -51          49         435          475          0
    29      -47         -30          47         308          572          0
    30      73         -89          28         0          720          0
